CityName,CityNameChinese,RegionCode,组织机构,制度体系,治理能力,治理效果,DGDI,cityclass
weifangshi,潍坊市,370700,5.6,6.3,33.9,14.3,60,1
dongwanshi,东莞市,441900,7.2,6.3,31.1,15.1,59.7,1
zhongshanshi,中山市,442000,4.2,7.5,33.1,14.9,59.7,1
ganzhoushi,赣州市,360700,2.6,7.5,37,12.5,59.6,1
weihaishi,威海市,371000,6.2,5.6,34,13.2,58.9,1
quanzhoushi,泉州市,350500,7.8,7.5,30,13.5,58.8,1
anqingshi,安庆市,340800,7.1,6.3,33.1,12.3,58.7,1
yichangshi,宜昌市,420500,7.8,5,32,13.7,58.5,1
changdeshi,常德市,430700,5.6,6.3,33.9,12.7,58.4,1
shaoxingshi,绍兴市,330600,0.7,10.6,24.9,13.7,58,1
wuxishi,无锡市,320200,5.6,5,36,11,57.6,1
luzhoushi,泸州市,510500,6.5,8.8,29,13.3,57.5,1
jinhuashi,金华市,330700,4.5,7.5,31.9,13.4,57.3,1
taianshi,泰安市,370900,5.1,6.9,32,12.6,56.6,1
nantongshi,南通市,320600,4.2,7.5,31.8,12.6,56.1,1
xiangyangshi,襄阳市,420600,5.7,5,32,13,55.7,1
yantaishi,烟台市,370600,5.6,5,32.9,11.6,55.1,1
ziboshi,淄博市,370300,6.2,6.3,30.9,11.7,55,1
jiaxingshi,嘉兴市,330400,5.1,10.6,27.7,11.4,54.8,1
liaochengshi,聊城市,371500,4.1,7.5,32,10.9,54.5,1
wenzhoushi,温州市,330300,3.8,9.4,28.7,12.6,54.5,1
yangzhoushi,扬州市,321000,4.1,5,31.8,12.9,53.7,1
dongyingshi,东营市,370500,5.4,4.4,30.7,13.2,53.6,1
langfangshi,廊坊市,131000,5.4,5,30.9,11.8,53.1,1
zunyishi,遵义市,520300,7.1,3.1,30,12.8,52.9,1
maomingshi,茂名市,440900,6.2,3.8,31,11.6,52.5,1
bangbushi,蚌埠市,340300,3.9,6.3,27.9,13.6,51.7,1
cangzhoushi,沧州市,130900,7.1,3.8,29.9,10.5,51.2,1
jiujiangshi,九江市,360400,5.6,5,28.8,11.8,51.2,1
luoyangshi,洛阳市,410300,5,5,25.1,15.7,50.8,1
xuzhoushi,徐州市,320300,4.2,2.5,32.8,11,50.5,1
jiningshi,济宁市,370800,4.1,7.5,29,9.8,50.4,1
changzhoushi,常州市,320400,4.5,5,29,11.8,50.3,1
wuhushi,芜湖市,340200,4.7,3.8,27.9,13.7,50,1
liuzhoushi,柳州市,450200,5.6,5.6,26.8,11.9,49.9,1
sanyashi,三亚市,460200,0.8,3.8,32,12.9,49.5,1
yueyangshi,岳阳市,430600,4.2,2.5,30.9,11.6,49.2,1
taizhoushi,泰州市,321200,5.7,6.9,23.8,11.9,48.3,1
jilinshi,吉林市,220200,1.8,3.8,31.1,11.5,48.1,1
