CityName,CityCode,ConfirmedCases20210101,ConfirmedCases20210131,url,ProvinceCode
北京,110000,988,1038,,11
天津,120000,312,344,,12
上海,310000,1520,1698,,31
衡阳,430400,48,48,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN43040000000000,43
巴彦淖尔,150800,8,8,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15080000000000,15
林芝,540400,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN54040000000000,54
日喀则,540200,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN54020000000000,54
拉萨,540100,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN54010000000000,54
鸡西,230300,46,46,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN23030000000000,23
固原,640400,5,5,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN64040000000000,64
西双版纳,532800,15,15,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN53280000000000,53
乌海,150300,2,2,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15030000000000,15
锡林郭勒,152500,9,9,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15250000000000,15
阿拉善,152900,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN15290000000000,15
山南,540500,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN54050000000000,54
昌都,540300,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN54030000000000,54
巴音郭楞,652800,3,3,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN65280000000000,65
伊犁,654000,18,18,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN65400000000000,65
阿克苏,652900,1,1,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN65290000000000,65
喀什,653100,80,80,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN65310000000000,65
哈密,650500,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN65050000000000,65
克拉玛依,650200,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN65020000000000,65
和田,653200,0,0,https://news.sina.cn/project/fy2020/yq_province.shtml?city=CN65320000000000,65
