CityCode,CityNameChinese,year,年末总人口_全市_万人,年末总人口_市辖区_万人,非农业人口_全市_万人,非农业人口_市辖区_万人,自然增长率_全市_百分比,自然增长率_市辖区_百分比,城镇单位从业人员期末人数_全市_万人,城镇单位从业人员期末人数_市辖区_万人,城镇私营和个体从业人员_全市_人,城镇私营和个体从业人员_市辖区_人,城镇登记失业人员数_全市_人,城镇登记失业人员数_市辖区_人,第一产业从业人员比重_全市_百分比,第一产业从业人员比重_市辖区_百分比,第二产业从业人员比重_全市_百分比,第二产业从业人员比重_市辖区_百分比,第三产业从业人员比重_全市_百分比,第三产业从业人员比重_市辖区_百分比,第二产业_采矿业_全市_人,第二产业_采矿业_市辖区_人,第二产业_制造业_全市_人,第二产业_制造业_市辖区_人,第二产业_电力热力燃气及水生产和供应业_全市_人,第二产业_电力热力燃气及水生产和供应业_市辖区_人,第二产业_建筑业_全市_人,第二产业_建筑业_市辖区_人,第三产业_批发和零售业_全市_人,第三产业_批发和零售业_市辖区_人,第三产业_交通运输仓储和邮政业_全市_人,第三产业_交通运输仓储和邮政业_市辖区_人,第三产业_住宿和餐饮业_全市_人,第三产业_住宿和餐饮业_市辖区_人,第三产业_信息传输计算机服务和软件业_全市_人,第三产业_信息传输计算机服务和软件业_市辖区_人,第三产业_金融业_全市_人,第三产业_金融业_市辖区_人,第三产业_房地产业_全市_人,第三产业_房地产业_市辖区_人,第三产业_租赁和商务服务业_全市_人,第三产业_租赁和商务服务业_市辖区_人,科研综合技术服务业从业人员数_全市_人,科研综合技术服务业从业人员数_市辖区_人,第三产业_水利环境和公共设施管理业_全市_人,第三产业_水利环境和公共设施管理业_市辖区_人,第三产业_居民服务、修理和其他服务业_全市_人,第三产业_居民服务、修理和其他服务业_市辖区_人,第三产业_教育_全市_人,第三产业_教育_市辖区_人,第三产业_卫生和社会工作_全市_人,第三产业_卫生和社会工作_市辖区_人,第三产业_文化体育和娱乐业_全市_人,第三产业_文化体育和娱乐业_市辖区_人,第三产业_公共管理社会保障和社会组织_全市_人,第三产业_公共管理社会保障和社会组织_市辖区_人,年末实有耕地面积_全市_千公顷,人均耕地面积_全市_亩每人,行政区域土地面积_全市_平方公里,行政区域土地面积_市辖区_平方公里,行政区域土地面积_建成区_平方公里,人口密度_全市_人每平方公里,人口密度_市辖区_人每平方公里,城市建设用地面积_市辖区_平方公里,城市建设用地占市辖区面积比重_百分比,地区生产总值_当年价格_全市_万元,地区生产总值_当年价格_市辖区_万元,人均地区生产总值_全市_元,人均地区生产总值_市辖区_元,地区生产总值增长率_全市_百分比,地区生产总值增长率_市辖区_百分比,第一产业占GDP的比重_全市_百分比,第一产业占GDP的比重_市辖区_百分比,第二产业占GDP的比重_全市_百分比,第二产业占GDP的比重_市辖区_百分比,第三产业占GDP的比重_全市_百分比,第三产业占GDP的比重_市辖区_百分比,蔬菜_全市_吨,水果_全市_吨,肉类_全市_吨,奶类_全市_吨,水产品_全市_吨,人均蔬菜产量_全市_千克,人均肉类产量_全市_千克,人均水果产量_全市_千克,人均牛羊奶产量_全市_千克,人均水产品产量_全市_千克,国有及年销售收入500万以上非国有工业企业数_全市_个,国有及年销售收入500万以上非国有工业企业数_市辖区_个,国有及年销售收入500万以上非国有工企工业总产值_全市_万元,国有及年销售收入500万以上非国有工企工业总产值_市辖区_万元,国有及年销售收入500万以上非国有工企年均从业人数_全市_人,国有及年销售收入500万以上非国有工企年均从业人数_市辖区_人,规模以上工业企业数_全市_个,规模以上工业企业数_市辖区_个,规模以上内资企业数_全市_个,规模以上内资企业数_市辖区_个,规模以上港澳台商投资企业_全市_个,规模以上港澳台商投资企业_市辖区_个,规模以上外商投资企业_全市_个,规模以上外商投资企业_市辖区_个,规模以上工业总产值_全市_万元,规模以上工业总产值_市辖区_万元,规模以上内资企业工业总产值_全市_万元,规模以上内资企业工业总产值_市辖区_万元,规模以上港澳台投资工业企业工业总产值_全市_万元,规模以上港澳台投资工业企业工业总产值_市辖区_万元,规模以上外商投资工业企业工业总产值_全市_万元,规模以上外商投资工业企业工业总产值_市辖区_万元,规模以上工业企业本年应交增值税_全市_万元,规模以上工业企业本年应交增值税_市辖区_万元,利税总额_全市_万元,利税总额_市辖区_万元,固定资产净值年平均余额_全市_万元,固定资产净值年平均余额_市辖区_万元,固定资产投资总额_全市_万元,固定资产投资总额_市辖区_万元,房地产开发投资完成额_全市_万元,房地产开发投资完成额_市辖区_万元,房地产开发投资完成额_住宅_全市_万元,房地产开发投资完成额_住宅_市辖区_万元,社会消费品零售额_全市_万元,社会消费品零售额_市辖区_万元,规模以上批发零售贸易企业数_全市_个,规模以上批发零售贸易企业数_市辖区_个,外商实际投资额_全市_万美元,外商实际投资额_市辖区_万美元,外商协议投资额_全市_万美元,外商协议投资额_市辖区_万美元,地方一般公共预算收入_市辖区_万元,地方一般公共预算支出_市辖区_万元,教育事业费支出_市辖区_万元,科学技术支出_市辖区_万元,地方一般公共预算收入_全市_万元,地方一般公共预算支出_全市_万元,教育事业费支出_全市_万元,科学技术支出_全市_万元,年末金融机构人民币各项贷款余额_全市_万元,年末金融机构人民币各项贷款余额_市辖区_万元,年末金融机构人民币住户存款余额_市辖区_万元,年末金融机构人民币各项存款余额_全市_万元,年末金融机构人民币各项存款余额_市辖区_万元,在岗职工平均人数_全市_万人,在岗职工平均人数_市辖区_万人,在岗职工工资总额_全市_万元,在岗职工工资总额_市辖区_万元,职工平均工资_全市_元,职工平均工资_市辖区_元,普通高等学校_全市_所,普通高等学校_市辖区_所,中等职业教育学校_全市_所,中等职业教育学校_市辖区_所,普通中学_全市_所,普通中学_市辖区_所,普通小学_全市_所,普通小学_市辖区_所,普通高等学校专任教师数_全市_人,普通高等学校专任教师数_市辖区_人,中等职业教育学校专任教师数_全市_人,中等职业教育学校专任教师数_市辖区_人,普通中学专任教师数_全市_人,普通中学专任教师数_市辖区_人,普通小学专任教师数_全市_人,普通小学专任教师数_市辖区_人,普通本专科在校学生数_全市_人,普通本专科在校学生数_市辖区_人,普通高中在校学生数_全市_人,普通高中在校学生数_市辖区_人,中等职业教育学校在校学生数_全市_人,中等职业教育学校在校学生数_市辖区_人,普通中学在校学生数_全市_人,普通中学在校学生数_市辖区_人,普通小学在校学生数_全市_人,普通小学在校学生数_市辖区_人,每万人在校大学生数_全市_人,每万人在校大学生数_市辖区_人,剧场、影剧院数_全市_个,剧场、影剧院数_市辖区_个,公共图书馆图书藏量_全市_万册,公共图书馆图书藏量_市辖区_万册,人均公共图书馆藏书_全市_册或件,人均公共图书馆藏书_市辖区_册或件,医院、卫生院数_全市_个,医院、卫生院数_市辖区_个,医院、卫生院床位数_全市_张,医院、卫生院床位数_市辖区_张,执业或助理医师数_全市_人,执业或助理医师数_市辖区_人,客运总量_全市_万人,铁路客运量_全市_万人,公路客运量_全市_万人,水运客运量_全市_万人,民用航空客运量_全市_万人,货运总量_全市_万吨,铁路货运量_全市_万吨,公路货运量_全市_万吨,水运货运量_全市_万吨,民用航空货运量_全市_万吨,年末邮电局_全市_所,年末邮电局_市辖区_所,邮政业务收入_全市_万元,邮政业务总量_市辖区_元,电信业务收入_全市_万元,电信业务收入_市辖区_万元,本地电话用户数量_全市_万户,本地电话用户数量_市辖区_万户,移动电话年末用户数_全市_万户,移动电话年末用户数_市辖区_万户,互联网宽带接入用户数_全市_万户,售水量_市辖区_万吨,全年居民家庭用水量_市辖区_万吨,全年用电总量_市辖区_万千瓦时,工业用电_全市_万千瓦时,居民人均生活用电量_市辖区_千瓦时,人均家庭生活用水量_市辖区_吨,煤气供气总量_全市_万立方米,煤气家庭用量_市辖区_万立方米,用煤气人口_全市_人,液化石油气供气总量_全市_吨,液化石油气家庭用量_全市_吨,用液化气人口_全市_人,年末实有铺装道路面积_全市_万平方米,年末实有公共营运汽电车_全市_辆,公共汽电车客运总数_全市_万人次,年末实有出租汽车_全市_辆,每万人拥有公共汽电车_全市_辆,人均铺装道路面积_全市_平方米,环境污染治理投资额_全市_万元,三废综合利用产品产值_全市_万元,工业二氧化硫排放量_全市_吨,工业氮氧化物排放量_全市_吨,工业烟尘粉尘排放量_全市_吨,工业二氧化硫去除量_全市_吨,可吸入细颗粒物年平均浓度_全市_微克每立方米,工业烟尘产生量_全市_吨,一般工业固体废物综合利用率_全市_百分比,污水处理厂集中处理率_全市_百分比,生活垃圾无害化处理率_全市_百分比,建成区绿化覆盖面积_市辖区_公顷,建成区绿化覆盖率_市辖区_百分比,人均绿地面积_市辖区_平方米每人,城镇职工基本养老保险参保人数_全市_人,城镇职工基本养老保险参保人数_市辖区_人,城镇职工基本医疗保险参保人数_全市_人,城镇职工基本医疗保险参保人数_市辖区_人,城镇职工失业保险参保人数_全市_人,城镇职工失业保险参保人数_市辖区_人,城市维护建设资金支出_全市_万元,排水管道长度_公里,公园绿地面积_市辖区_公顷
230900,七台河市,2018,78,47,,,-0.71,-0.36,8.8744,7.5491,160651,125868,10049,8122,7.57,6.8,45.69,50.25,46.75,42.95,32184,31334,4507,3567,2312,2019,1542,1015,1243,1073,3459,2674,103,93,1030,1030,5969,5385,491,382,769,755,,,2042,1832,203,139,7252,5281,5132,3759,705,522,12108,8692,,,6190,3800,68,,,68,1.79,2503258,1932575,32028,40624,5.6,5,12.35,8.09,39.87,44.01,47.79,47.9,,,,,,,,,,,,,,,,,78,65,77,64,,,1,1,,,,,,,,,164922,143454,,,,,,,35677,34777,17823,17153,1109230,805396,20,17,,,,,242800,656360,63046,1411,274750,942751,85621,1526,2465707,1618223,2555918,4478191,3446402,8,7,474535,410431,58334,58877,1,,2,1,45,28,32,17,127,,30,4,2998,2116,2149,1369,3193,,,,206,96,40000,30000,30000,20000,,,,,33,20,,,27,23,4131,3519,1761,1388,,,486,,,,,1109,,,,,0.7418,,51038,,,,93,,20,2298,930,265343,202931,,,,,,1325,1230,,,434,8679,1000,,,,,7076,14216,6383,,32,,79.8,94,100,2730,44.43,,192625,160690,167472,137222,100268,88268,,210,5270000
460200,三亚市,2018,61,61,,,13.45,13.45,14.2407,14.2407,251810,251810,3579,3579,2.41,2.41,7.53,7.53,90.06,90.06,25,25,2581,2581,2203,2203,5913,5913,5634,5634,6728,6728,32682,32682,1332,1332,12646,12646,11513,11513,2696,2696,,,9710,9710,913,913,11647,11647,6872,6872,2266,2266,21979,21979,,,1922,1922,52,,,47,2.45,5955057,5955057,77429,77429,7.2,7.2,11.46,11.46,19.86,19.86,68.68,68.68,,,,,,,,,,,,,,,,,22,22,18,18,1,1,3,3,,,,,,,,,23156,23156,,,,,,,4031432,4031432,2971685,2971685,2417611,2417611,39,39,,,,,1004248,1788124,211224,31157,1004248,1788124,211224,31157,12630970,12630970,6383818,15240727,15240727,14,14,1089813,1089813,79661,79661,6,,3,3,47,47,117,117,2445,,353,353,3251,3251,3790,3790,50492,,,,8401,8401,40000,40000,70000,70000,,,,,97,97,,,21,21,3957,3957,2514,2514,,,889,554,569,,,1531,,29500,,,1.0587,,154828,,,,137,,41,11267,4332,427160,50606,,,,,,13100,2100,,,1095,6092,2550,,,,,221,259,1763,,15,,,77.35,100,2086,43.79,,272379,272379,278175,278175,201946,201946,,1623,8720000
350400,三明市,2018,289,28,,,12.59,10.42,25.0495,9.8037,607694,180213,11377,3484,1.36,0.44,37.27,52.43,61.36,47.13,5912,88,42357,19686,5914,898,39180,30731,6372,4179,8592,3273,997,249,3492,2780,17839,12273,3994,947,3448,1050,,,4124,652,328,108,38917,6018,17834,4270,1561,626,43687,8706,,,22965,1151,40,,,34,2.95,23537162,5032600,91406,129207,7.55,7.46,11.64,3.03,52.59,55.66,35.77,41.31,,,,,,,,,,,,,,,,,1686,264,1621,257,44,4,21,3,,,,,,,,,540289,238971,,,,,,,1214582,359917,865436,288779,5884962,1420492,650,252,,,,,375154,658566,116226,7844,1076421,2970992,605776,34507,13674751,5114696,1997677,17376566,5230721,21,8,1699118,677851,79202,87614,3,,14,4,157,15,233,17,1301,,1294,230,11507,1607,12166,1457,27309,,,,25850,8243,130000,20000,200000,30000,,,,,272,56,,,53,10,11014,2808,5945,1591,,,2065,37,20,,,10867,,294,,,7.6727,,202544,,,,252,,92,3312,2122,1519964,1105098,,,,,,867,568,,,421,8580,404,,,,,13731,28993,23045,,19,,93.74,90.11,99.63,1790,44.26,,435924,128433,410546,158902,220725,81709,,254,3570000
460300,三沙市,2018,,,,,15.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4146,,,273192,,,,,,,,,,,,,,1,,,,,,8,,8,,,,,,,,,,40000,,,,,,2,,,,1,,30,,4,,,,,3,,,,,3,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92.2,,,,358,,368,,174,,,,
411200,三门峡市,2018,227,63,,,7.22,7.52,21.3497,9.3192,276333,93373,8829,3928,0.17,0.05,47.17,34.97,52.66,64.97,43953,1320,30848,10993,5407,3433,20489,16846,5497,3652,5769,3818,2661,1836,2800,2800,12605,10895,2678,1659,1368,1214,,,2069,1475,655,580,26114,10027,15798,7075,1614,818,30202,13238,,,10496,1927,61,,,49,2.54,15281244,4750721,67294,70358,8,10.1,7.79,5.23,55.06,44.34,37.14,50.43,,,,,,,,,,,,,,,,,418,154,407,146,3,2,8,6,,,,,,,,,,,,,,,,,,,,,5337448,1869556,293,153,,,,,512646,990604,178004,15815,1202017,2439183,429933,37625,8083543,4243968,3186999,12766275,5434510,20,9,1320636,627021,64578,73685,2,,19,10,128,42,239,79,977,,1103,628,10741,3333,10176,3120,17540,,,,13757,8138,110000,30000,160000,50000,,,,,158,110,,,51,19,12168,6303,5715,2419,,,2279,30,,,,6948,,,,,4.6825,,138629,,,,224,,61,2075,1576,1193219,874388,,,,,,3660,3347,,,297,5934,798,,,,,7256,9175,5441,,57,,37.1,97,97.1,1986,39.85,,441188,226004,381934,258334,246939,99289,,291,6080000
310000,上海市,2018,1462,1462,,,-1.87,-1.87,640.6657,640.6657,7166584,7166584,194100,194100,0.48,0.48,30.63,30.63,68.88,68.88,662,662,1617230,1617230,39946,39946,304748,304748,844687,844687,505838,505838,304811,304811,355812,355812,333912,333912,265978,265978,578744,578744,,,92639,92639,71308,71308,318756,318756,193579,193579,58636,58636,219438,219438,,,6341,6341,1238,,,1899,29.95,326798700,326798700,134982,134982,6.6,6.6,0.32,0.32,29.78,29.78,69.9,69.9,,,,,,,,,,,,,,,,,8145,8145,4748,4748,924,924,2473,2473,,,,,,,,,9013317,9013317,,,,,,,40331832,40331832,22259170,22259170,126686893,126686893,7082,7082,,,,,71081480,83515363,9179869,4263655,71081480,83515363,9179869,4263655,675679400,675679400,270717400,1126162300,1126162300,592,592,84707990,84707990,142983,142983,64,,80,80,833,833,721,721,44585,,8083,8083,59346,59346,56803,56803,517796,,,,102575,102575,590000,590000,800000,800000,,,,,7894,7894,,,364,364,129007,129007,74948,74948,,,3151,158,5921,,,39595,66906,4175700,,,74.2405,,5786900,,,,3722,,875,243514,105941,15666595,7802115,,,,,,313578,,,,17513,210103,41881,,,,,9100,26714,16163,,36,,93.05,95.2,100,139427,39.4,,15733700,15733700,15248200,15248200,9772000,9772000,,27483,205780000
361100,上饶市,2018,789,142,,,11.37,11.62,39.5695,12.8938,836590,186280,25433,,0.72,0.06,38.05,41.26,61.23,58.68,2808,195,64735,5614,2986,744,80046,46652,11232,3574,6998,4174,3232,544,3738,2840,16735,14080,6557,2227,7241,3092,,,3921,1218,457,17,73994,13873,32232,10071,2797,804,70905,17932,,,22757,1770,81,,,80,4.52,22174758,6801981,32555,56320,9,9.5,11.41,4.49,46.51,39.12,42.08,56.39,,,,,,,,,,,,,,,,,1430,249,1402,244,20,4,8,1,,,,,,,,,568799,124871,,,,,,,1803744,836950,1278425,577132,8259941,2221546,587,121,,,,,803327,1729597,294508,30635,2228315,6222704,1142953,92638,26733860,11086074,5353669,35735598,12105638,36,12,2322414,794851,64315,68305,4,,41,13,463,78,1641,235,1792,,1170,395,32277,6307,32838,5776,32500,,,,43430,22659,490000,90000,640000,120000,,,,,164,67,,,148,46,25879,8327,11032,2826,,,7534,33,38,,,27795,854,121,,,10.49,,345065,,,,557,,149,6420,3292,1579232,956415,,,,,,20420,13808,,,350,5412,511,,,,,13833,15591,24937,,36,,11.8,87.95,100,3633,,,1153843,292167,512306,143437,300097,90117,,1290,11830000
441900,东莞市,2018,232,,,,13.28,,242.415,,4669220,,13378,,0.01,,79.95,,20.03,,32,,1854191,,9905,,74091,,76508,,33046,,28322,,11574,,29798,,34319,,66259,,,,7019,,12650,,45194,,50958,,5873,,65802,,,,2460,,,,,,,82785920,,98939,,7.42,,0.3,,48.65,,51.05,,,,,,,,,,,,,,,,,,7704,,4561,,2085,,1058,,,,,,,,,,2661006,,,,,,,,7367857,,5258491,,29056119,,3186,,,,,,,,,,6499110,7654053,1554296,393445,79996011,,,134305611,,245,,17152468,,69937,,9,,28,,240,,328,,5454,,3863,,21602,,37894,,121408,,,,82311,,330000,,800000,,,,,,1096,,,,102,,30239,,19516,,,,3360,24,,,,10975,6298,,,,189.1786,,1758353,,,,1893,,182,,,8066430,5803832,,,,,,,,,,,,,,,,,24132,29277,20110,,36,,66.32,94.5,100,,,,5809857,,5832967,,4186677,,,,
370500,东营市,2018,197,113,,,9.72,10.75,37.3667,30.8308,223658,189052,13665,11446,0.04,,56.35,56.33,43.61,43.67,97846,97494,70294,43502,2505,1980,39903,30700,10538,10024,8992,8451,5638,4845,4379,4379,10473,9582,4858,3667,32246,31589,,,4314,4029,95,95,25483,16444,13194,9518,1229,905,33378,23394,,,8243,5777,153,,,152,2.63,41524700,28935284,191942,217313,4.5,4.7,3.53,2.42,62.21,62.66,34.26,34.91,,,,,,,,,,,,,,,,,865,502,823,471,22,18,20,13,,,,,,,,,1563234,1366268,,,,,,,1671762,1247262,1273600,890797,8670055,6231167,486,304,,,,,1852229,2224112,352238,24643,2445857,3062955,531598,47462,34725607,25330342,12209518,36413053,29097443,35,29,3142445,2690488,89503,93818,4,,8,6,100,69,110,75,1854,,1223,839,12179,7746,8458,5790,31177,,,,22761,15575,130000,90000,110000,80000,,,,,294,225,,,74,59,11624,8706,7386,5578,,,640,28,69,,,6683,,2774,,,4.9971,,195490,,,,300,,76,14610,3603,2945296,2599227,,,,,,6338,6013,,,796,5724,2628,,,,,20394,21086,3285,,49,,89.21,97.3,99.53,9590,41.96,,594974,438824,735894,625594,301362,218214,,1691,26080000
640500,中卫市,2018,122,42,,,7,6.97,6.2317,3.0587,,,,,5.45,4.81,14.64,19.54,79.9,76.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17448,6877,32,,,29,0.42,4029947,1876910,34653,45593,6,6.4,14.32,13.54,43.52,38.39,42.16,48.08,,,,,,,,,,,,,,,,,134,83,127,82,5,,2,1,,,,,,,,,125549,77792,,,,,,,354678,249977,262184,191700,742255,413241,55,30,,,,,110649,598806,61498,11701,226246,1625528,220198,17388,4555097,2020789,1490757,5324099,2586047,5,3,415297,199641,79047,77470,,,3,1,64,24,245,59,,,402,187,5952,1994,5488,1613,,,,,9829,4733,70000,20000,100000,30000,,,,,58,26,,,32,13,4159,2071,1985,884,,,718,58,24,,,6428,29,178,,,0.4965,,86093,,,,117,,,869,561,2273672,2115600,,,,,,1516,773,,,277,1245,1138,,,,,9585,11895,25261,,42,,34.5,97.98,96.54,2116,40.1,,185555,108377,115032,55463,64174,36448,,116,4390000
